"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @123telugu: Live Interview : @AlluArjun and @hegdepooja promote DJ

https://t.co/hIT689BI3i

#AlluArjun #DuvadaJaganadham",FALSE,0,NA,2017-06-20 16:04:55,FALSE,NA,"877195568765784064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChethanAADHF",14,TRUE,FALSE,NA,NA
"RT @123telugu: Live Interview : @AlluArjun and @hegdepooja promote DJ

https://t.co/hIT689BI3i

#AlluArjun #DuvadaJaganadham",FALSE,0,NA,2017-06-20 15:54:23,FALSE,NA,"877192917021990912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AshokBunny97",14,TRUE,FALSE,NA,NA
"RT @123telugu: Live Interview : @AlluArjun and @hegdepooja promote DJ

https://t.co/hIT689BI3i

#AlluArjun #DuvadaJaganadham",FALSE,0,NA,2017-06-20 15:51:14,FALSE,NA,"877192122750738432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GouseJilaniAA",14,TRUE,FALSE,NA,NA
"RT @123telugu: Live Interview : @AlluArjun and @hegdepooja promote DJ

https://t.co/hIT689BI3i

#AlluArjun #DuvadaJaganadham",FALSE,0,NA,2017-06-20 14:45:38,FALSE,NA,"877175616633675776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SSAAForever",14,TRUE,FALSE,NA,NA
"RT @Kommurisuresh2: @alluarjun @harish2you @SKNonline @SVC_official @vamsikaka 
#DuvadaJaganadham  Hoardings
Banjarahils road number 2 http…",FALSE,0,NA,2017-06-20 14:41:56,FALSE,NA,"877174685317726210",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","AlluArjun_AA",49,TRUE,FALSE,NA,NA
"RT @123telugu: Live Interview : @AlluArjun and @hegdepooja promote DJ

https://t.co/hIT689BI3i

#AlluArjun #DuvadaJaganadham",FALSE,0,NA,2017-06-20 14:38:28,FALSE,NA,"877173813435285504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AAshu1592",14,TRUE,FALSE,NA,NA
"RT @123telugu: Live Interview : @AlluArjun and @hegdepooja promote DJ

https://t.co/hIT689BI3i

#AlluArjun #DuvadaJaganadham",FALSE,0,NA,2017-06-20 14:36:58,FALSE,NA,"877173433317998593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MadhuArjun10",14,TRUE,FALSE,NA,NA
"RT @123telugu: Live Interview : @AlluArjun and @hegdepooja promote DJ

https://t.co/hIT689BI3i

#AlluArjun #DuvadaJaganadham",FALSE,0,NA,2017-06-20 14:36:18,FALSE,NA,"877173264824451072",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","AlluArjun_AA",14,TRUE,FALSE,NA,NA
"RT @123telugu: Live Interview : @AlluArjun and @hegdepooja promote DJ

https://t.co/hIT689BI3i

#AlluArjun #DuvadaJaganadham",FALSE,0,NA,2017-06-20 13:34:09,FALSE,NA,"877157626194272256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rakesh_konduru",14,TRUE,FALSE,NA,NA
"RT @123telugu: Live Interview : @AlluArjun and @hegdepooja promote DJ

https://t.co/hIT689BI3i

#AlluArjun #DuvadaJaganadham",FALSE,0,NA,2017-06-20 13:23:56,FALSE,NA,"877155056340140032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Junglibilliash",14,TRUE,FALSE,NA,NA
"RT @123telugu: Live Interview : @AlluArjun and @hegdepooja promote DJ

https://t.co/hIT689BI3i

#AlluArjun #DuvadaJaganadham",FALSE,0,NA,2017-06-20 13:11:14,FALSE,NA,"877151858439139329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pavankumarnv1",14,TRUE,FALSE,NA,NA
"RT @123telugu: Live Interview : @AlluArjun and @hegdepooja promote DJ

https://t.co/hIT689BI3i

#AlluArjun #DuvadaJaganadham",FALSE,0,NA,2017-06-20 13:03:50,FALSE,NA,"877149996176482304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kasaltsundram55",14,TRUE,FALSE,NA,NA
"Live Interview : @AlluArjun and @hegdepooja promote DJ

https://t.co/hIT689BI3i

#AlluArjun #DuvadaJaganadham",FALSE,19,NA,2017-06-20 13:02:55,FALSE,NA,"877149766454345728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","123telugu",14,FALSE,FALSE,NA,NA
"RT @pudiharicharan: Among the June 23 releases, which film are you most excited about? #Tubelight #AAA1D #Vanamagan #DJ #DuvadaJaganadham",FALSE,0,NA,2017-06-20 12:26:12,FALSE,NA,"877140525991682048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","STRfans_World",142,TRUE,FALSE,NA,NA
"RT @pudiharicharan: Among the June 23 releases, which film are you most excited about? #Tubelight #AAA1D #Vanamagan #DJ #DuvadaJaganadham",FALSE,0,NA,2017-06-20 12:25:20,FALSE,NA,"877140308131282944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TrollDNA",142,TRUE,FALSE,NA,NA
"RT @pudiharicharan: Among the June 23 releases, which film are you most excited about? #Tubelight #AAA1D #Vanamagan #DJ #DuvadaJaganadham",FALSE,0,NA,2017-06-20 11:24:20,FALSE,NA,"877124954667401218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KarthickYogesh3",142,TRUE,FALSE,NA,NA
"RT @pudiharicharan: Among the June 23 releases, which film are you most excited about? #Tubelight #AAA1D #Vanamagan #DJ #DuvadaJaganadham",FALSE,0,NA,2017-06-20 08:57:47,FALSE,NA,"877088076182323200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","megapowersuresh",142,TRUE,FALSE,NA,NA
"RT @Kommurisuresh2: @alluarjun @harish2you  
#DuvadaJaganadham Hoardings at #Bowenpally Xroad &amp; #Paradise stop
#GVK 
#DJArrivingIn3Days htt…",FALSE,0,NA,2017-06-20 08:50:55,FALSE,NA,"877086346472443904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alluz04",44,TRUE,FALSE,NA,NA
"RT @Kommurisuresh2: @alluarjun @harish2you @SKNonline @SVC_official @vamsikaka 
#DuvadaJaganadham  Hoardings
Banjarahils road number 2 http…",FALSE,0,NA,2017-06-20 08:44:59,FALSE,NA,"877084856915709953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","baskar_bunny",49,TRUE,FALSE,NA,NA
"RT @Kommurisuresh2: @alluarjun @harish2you  
#DuvadaJaganadham Hoardings at #Bowenpally Xroad &amp; #Paradise stop
#GVK 
#DJArrivingIn3Days htt…",FALSE,0,NA,2017-06-20 07:47:02,FALSE,NA,"877070271550603264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MadhuArjun10",44,TRUE,FALSE,NA,NA
"RT @pudiharicharan: Among the June 23 releases, which film are you most excited about? #Tubelight #AAA1D #Vanamagan #DJ #DuvadaJaganadham",FALSE,0,NA,2017-06-20 07:46:17,FALSE,NA,"877070081653473280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thisis_navin",142,TRUE,FALSE,NA,NA
"RT @Kommurisuresh2: @alluarjun @harish2you  
#DuvadaJaganadham Hoardings at #Bowenpally Xroad &amp; #Paradise stop
#GVK 
#DJArrivingIn3Days htt…",FALSE,0,NA,2017-06-20 07:16:02,FALSE,NA,"877062468878467072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anurag_kedas",44,TRUE,FALSE,NA,NA
"RT @Kommurisuresh2: @alluarjun @harish2you @SKNonline @SVC_official @vamsikaka 
#DuvadaJaganadham  Hoardings
Banjarahils road number 2 http…",FALSE,0,NA,2017-06-20 07:15:59,FALSE,NA,"877062456501075968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anurag_kedas",49,TRUE,FALSE,NA,NA
"RT @Kommurisuresh2: @alluarjun @harish2you  
#DuvadaJaganadham Hoardings at #Bowenpally Xroad &amp; #Paradise stop
#GVK 
#DJArrivingIn3Days htt…",FALSE,0,NA,2017-06-20 07:14:29,FALSE,NA,"877062080670515201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ImVinayArjun",44,TRUE,FALSE,NA,NA
"RT @pudiharicharan: Among the June 23 releases, which film are you most excited about? #Tubelight #AAA1D #Vanamagan #DJ #DuvadaJaganadham",FALSE,0,NA,2017-06-20 06:48:29,FALSE,NA,"877055538059657216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","STRBrothers",142,TRUE,FALSE,NA,NA
